date,state,deaths
4/15/2020 12:00:00 AM,Alabama,17
4/15/2020 12:00:00 AM,Alabama,19
4/16/2020 12:00:00 AM,Alabama,1
4/16/2020 12:00:00 AM,Alabama,2
4/16/2020 12:00:00 AM,Alabama,3
4/16/2020 12:00:00 AM,Alabama,4
4/16/2020 12:00:00 AM,Alabama,5
4/16/2020 12:00:00 AM,Alabama,7
4/16/2020 12:00:00 AM,Alabama,8
4/16/2020 12:00:00 AM,Alabama,11
4/16/2020 12:00:00 AM,Alabama,12
4/16/2020 12:00:00 AM,Alabama,22
4/16/2020 12:00:00 AM,Alabama,23
4/17/2020 12:00:00 AM,Alabama,1
4/17/2020 12:00:00 AM,Alabama,2
4/17/2020 12:00:00 AM,Alabama,3
4/17/2020 12:00:00 AM,Alabama,4
4/17/2020 12:00:00 AM,Alabama,5
4/17/2020 12:00:00 AM,Alabama,8
4/17/2020 12:00:00 AM,Alabama,9
4/17/2020 12:00:00 AM,Alabama,11
4/17/2020 12:00:00 AM,Alabama,13
4/17/2020 12:00:00 AM,Alabama,24
4/17/2020 12:00:00 AM,Alabama,25
4/18/2020 12:00:00 AM,Alabama,1
4/18/2020 12:00:00 AM,Alabama,2
4/18/2020 12:00:00 AM,Alabama,3
4/18/2020 12:00:00 AM,Alabama,4
4/18/2020 12:00:00 AM,Alabama,5
4/18/2020 12:00:00 AM,Alabama,7
4/18/2020 12:00:00 AM,Alabama,11
4/18/2020 12:00:00 AM,Alabama,14
4/18/2020 12:00:00 AM,Alabama,25
4/19/2020 12:00:00 AM,Alabama,1
4/19/2020 12:00:00 AM,Alabama,2
4/19/2020 12:00:00 AM,Alabama,3
4/19/2020 12:00:00 AM,Alabama,4
4/19/2020 12:00:00 AM,Alabama,5
4/19/2020 12:00:00 AM,Alabama,7
4/19/2020 12:00:00 AM,Alabama,12
4/19/2020 12:00:00 AM,Alabama,14
4/19/2020 12:00:00 AM,Alabama,25
4/19/2020 12:00:00 AM,Alabama,29
4/20/2020 12:00:00 AM,Alabama,1
4/20/2020 12:00:00 AM,Alabama,2
4/20/2020 12:00:00 AM,Alabama,3
4/20/2020 12:00:00 AM,Alabama,4
4/20/2020 12:00:00 AM,Alabama,5
4/20/2020 12:00:00 AM,Alabama,6
4/20/2020 12:00:00 AM,Alabama,7
4/20/2020 12:00:00 AM,Alabama,12
4/20/2020 12:00:00 AM,Alabama,13
4/20/2020 12:00:00 AM,Alabama,15
4/20/2020 12:00:00 AM,Alabama,26
4/20/2020 12:00:00 AM,Alabama,33
4/21/2020 12:00:00 AM,Alabama,1
4/21/2020 12:00:00 AM,Alabama,2
4/21/2020 12:00:00 AM,Alabama,3
4/21/2020 12:00:00 AM,Alabama,4
4/21/2020 12:00:00 AM,Alabama,5
4/21/2020 12:00:00 AM,Alabama,6
4/21/2020 12:00:00 AM,Alabama,8
4/21/2020 12:00:00 AM,Alabama,14
4/21/2020 12:00:00 AM,Alabama,16
4/21/2020 12:00:00 AM,Alabama,19
4/21/2020 12:00:00 AM,Alabama,26
4/21/2020 12:00:00 AM,Alabama,38
4/22/2020 12:00:00 AM,Alabama,1
4/22/2020 12:00:00 AM,Alabama,2
4/22/2020 12:00:00 AM,Alabama,3
4/22/2020 12:00:00 AM,Alabama,4
4/22/2020 12:00:00 AM,Alabama,5
4/22/2020 12:00:00 AM,Alabama,7
4/22/2020 12:00:00 AM,Alabama,8
4/22/2020 12:00:00 AM,Alabama,16
4/22/2020 12:00:00 AM,Alabama,21
4/22/2020 12:00:00 AM,Alabama,31
4/22/2020 12:00:00 AM,Alabama,39
4/23/2020 12:00:00 AM,Alabama,1
4/23/2020 12:00:00 AM,Alabama,2
4/23/2020 12:00:00 AM,Alabama,3
4/23/2020 12:00:00 AM,Alabama,4
4/23/2020 12:00:00 AM,Alabama,5
4/23/2020 12:00:00 AM,Alabama,7
4/23/2020 12:00:00 AM,Alabama,8
4/23/2020 12:00:00 AM,Alabama,16
4/23/2020 12:00:00 AM,Alabama,20
4/23/2020 12:00:00 AM,Alabama,31
4/23/2020 12:00:00 AM,Alabama,38
3/27/2020 12:00:00 AM,Alaska,1
3/28/2020 12:00:00 AM,Alaska,1
3/29/2020 12:00:00 AM,Alaska,2
3/30/2020 12:00:00 AM,Alaska,2
3/31/2020 12:00:00 AM,Alaska,2
4/1/2020 12:00:00 AM,Alaska,2
4/2/2020 12:00:00 AM,Alaska,2
4/3/2020 12:00:00 AM,Alaska,2
4/4/2020 12:00:00 AM,Alaska,1
4/4/2020 12:00:00 AM,Alaska,2
4/5/2020 12:00:00 AM,Alaska,1
4/5/2020 12:00:00 AM,Alaska,3
4/6/2020 12:00:00 AM,Alaska,1
4/6/2020 12:00:00 AM,Alaska,3
4/7/2020 12:00:00 AM,Alaska,1
4/7/2020 12:00:00 AM,Alaska,3
4/8/2020 12:00:00 AM,Alaska,1
4/8/2020 12:00:00 AM,Alaska,4
4/9/2020 12:00:00 AM,Alaska,1
4/9/2020 12:00:00 AM,Alaska,4
4/10/2020 12:00:00 AM,Alaska,1
4/10/2020 12:00:00 AM,Alaska,4
4/11/2020 12:00:00 AM,Alaska,2
4/11/2020 12:00:00 AM,Alaska,4
4/12/2020 12:00:00 AM,Alaska,2
4/12/2020 12:00:00 AM,Alaska,4
4/13/2020 12:00:00 AM,Alaska,2
4/13/2020 12:00:00 AM,Alaska,4
4/14/2020 12:00:00 AM,Alaska,1
4/14/2020 12:00:00 AM,Alaska,2
4/14/2020 12:00:00 AM,Alaska,4
4/15/2020 12:00:00 AM,Alaska,1
4/15/2020 12:00:00 AM,Alaska,2
4/15/2020 12:00:00 AM,Alaska,4
4/16/2020 12:00:00 AM,Alaska,1
4/16/2020 12:00:00 AM,Alaska,2
4/16/2020 12:00:00 AM,Alaska,4
4/17/2020 12:00:00 AM,Alaska,1
4/17/2020 12:00:00 AM,Alaska,2
4/17/2020 12:00:00 AM,Alaska,4
4/18/2020 12:00:00 AM,Alaska,1
4/18/2020 12:00:00 AM,Alaska,2
4/18/2020 12:00:00 AM,Alaska,4
4/19/2020 12:00:00 AM,Alaska,1
4/19/2020 12:00:00 AM,Alaska,2
4/19/2020 12:00:00 AM,Alaska,4
4/20/2020 12:00:00 AM,Alaska,1
4/20/2020 12:00:00 AM,Alaska,2
4/20/2020 12:00:00 AM,Alaska,4
4/21/2020 12:00:00 AM,Alaska,1
4/21/2020 12:00:00 AM,Alaska,2
4/21/2020 12:00:00 AM,Alaska,4
4/22/2020 12:00:00 AM,Alaska,1
4/22/2020 12:00:00 AM,Alaska,2
4/22/2020 12:00:00 AM,Alaska,4
4/23/2020 12:00:00 AM,Alaska,1
4/23/2020 12:00:00 AM,Alaska,2
4/23/2020 12:00:00 AM,Alaska,4
3/20/2020 12:00:00 AM,Arizona,1
3/21/2020 12:00:00 AM,Arizona,1
3/22/2020 12:00:00 AM,Arizona,2
3/23/2020 12:00:00 AM,Arizona,2
3/24/2020 12:00:00 AM,Arizona,1
3/24/2020 12:00:00 AM,Arizona,2
3/25/2020 12:00:00 AM,Arizona,1
3/25/2020 12:00:00 AM,Arizona,2
3/26/2020 12:00:00 AM,Arizona,2
3/26/2020 12:00:00 AM,Arizona,4
3/27/2020 12:00:00 AM,Arizona,2
3/27/2020 12:00:00 AM,Arizona,4
3/27/2020 12:00:00 AM,Arizona,5
3/28/2020 12:00:00 AM,Arizona,2
3/28/2020 12:00:00 AM,Arizona,5
3/29/2020 12:00:00 AM,Arizona,2
3/29/2020 12:00:00 AM,Arizona,5
3/29/2020 12:00:00 AM,Arizona,6
3/30/2020 12:00:00 AM,Arizona,3
3/30/2020 12:00:00 AM,Arizona,5
3/30/2020 12:00:00 AM,Arizona,6
3/31/2020 12:00:00 AM,Arizona,3
3/31/2020 12:00:00 AM,Arizona,6
